ID_PPI,ID_PP,DESC_PP
'001 02 001,52K002,Proyectos de infraestructura económica de hidrocarburos
'018 01 016,52K002,Proyectos de infraestructura económica de hidrocarburos
'020 96 020,52K002,Proyectos de infraestructura económica de hidrocarburos
'021 96 021,52K002,Proyectos de infraestructura económica de hidrocarburos
'0218T4L0039,52K002,Proyectos de infraestructura económica de hidrocarburos
'02204120009,20K025,Proyectos de inmuebles (oficinas administrativas)
'0310K2N0002,10K024,Otros proyectos de infraestructura gubernamental
'0310K8V0014,10K025,Proyectos de inmuebles (oficinas administrativas)
'0312NBG0001,12K011,Proyectos de infraestructura social de salud
'0316B000230,16K025,Proyectos de inmuebles (oficinas administrativas)
'0318T4M0100,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4N0034,52K002,Proyectos de infraestructura económica de hidrocarburos
'0321W3N0149,21K025,Proyectos de inmuebles (oficinas administrativas)
'0321W3N0157,21K021,Proyectos de infraestructura de turismo
'038 98 038,52K002,Proyectos de infraestructura económica de hidrocarburos
'039 98 039,52K002,Proyectos de infraestructura económica de hidrocarburos
'04096500001,09K003,Proyectos de construcción de carreteras
'0418T4O0002,52K030,Otros proyectos de infraestructura
'0418T4T0005,52K002,Proyectos de infraestructura económica de hidrocarburos
'0418TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'05096320001,09K003,Proyectos de construcción de carreteras
'05096320001,09K048,Servicios relacionados para la liberación del derecho de vía
'05096320004,09K003,Proyectos de construcción de carreteras
'05096320004,09K048,Servicios relacionados para la liberación del derecho de vía
'05096400027,09K003,Proyectos de construcción de carreteras
'05096400027,09K048,Servicios relacionados para la liberación del derecho de vía
'0512S000001,12K025,Proyectos de inmuebles (oficinas administrativas)
'0518T4M0010,52K002,Proyectos de infraestructura económica de hidrocarburos
'0518TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'06056130001,05K025,Proyectos de inmuebles (oficinas administrativas)
'06096220004,09K003,Proyectos de construcción de carreteras
'06096220004,09K048,Servicios relacionados para la liberación del derecho de vía
'06096270013,09K003,Proyectos de construcción de carreteras
'06096270013,09K048,Servicios relacionados para la liberación del derecho de vía
'06096280001,09K003,Proyectos de construcción de carreteras
'06096280001,09K048,Servicios relacionados para la liberación del derecho de vía
'06096340009,09K003,Proyectos de construcción de carreteras
'06096470004,09K003,Proyectos de construcción de carreteras
'06096470004,09K048,Servicios relacionados para la liberación del derecho de vía
'06096470005,09K003,Proyectos de construcción de carreteras
'06096470005,09K048,Servicios relacionados para la liberación del derecho de vía
'0609J3E0004,09K004,Proyectos de construcción de puertos
'0609J3E0005,09K004,Proyectos de construcción de puertos
'06125120002,12K025,Proyectos de inmuebles (oficinas administrativas)
'06125120003,12K025,Proyectos de inmuebles (oficinas administrativas)
'06125120004,12K025,Proyectos de inmuebles (oficinas administrativas)
'0616B000034,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'0618TZZ0004,52K002,Proyectos de infraestructura económica de hidrocarburos
'069 98 069,52K002,Proyectos de infraestructura económica de hidrocarburos
'0706G2T0001,06B004,Producción y comercialización de monedas
'07071320002,07A003,Operación y desarrollo de la Fuerza Aérea Mexicana
'07096220005,09K003,Proyectos de construcción de carreteras
'07096220005,09K048,Servicios relacionados para la liberación del derecho de vía
'07096260008,09K003,Proyectos de construcción de carreteras
'07096260008,09K048,Servicios relacionados para la liberación del derecho de vía
'0718T4N0004,52K027,Mantenimiento de infraestructura
'0718TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'08096220002,09K003,Proyectos de construcción de carreteras
'08096220002,09K048,Servicios relacionados para la liberación del derecho de vía
'08096280004,09K003,Proyectos de construcción de carreteras
'08096280004,09K048,Servicios relacionados para la liberación del derecho de vía
'08096280008,09K003,Proyectos de construcción de carreteras
'08096300008,09K003,Proyectos de construcción de carreteras
'08096300008,09K048,Servicios relacionados para la liberación del derecho de vía
'08096320020,09K003,Proyectos de construcción de carreteras
'08096320020,09K048,Servicios relacionados para la liberación del derecho de vía
'08096330029,09K003,Proyectos de construcción de carreteras
'08096330030,09K003,Proyectos de construcción de carreteras
'08096330030,09K048,Servicios relacionados para la liberación del derecho de vía
'08096400015,09K003,Proyectos de construcción de carreteras
'08096400015,09K048,Servicios relacionados para la liberación del derecho de vía
'0809J2R0003,09K004,Proyectos de construcción de puertos
'0809J3E0005,09K004,Proyectos de construcción de puertos
'08132110002,13A004,"Adquisición, construcción, reparación y mantenimiento de unidades navales"
'0816B000086,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'0818T4M0030,52K002,Proyectos de infraestructura económica de hidrocarburos
'0818T4M0031,52K027,Mantenimiento de infraestructura
'0818T4M0042,52K027,Mantenimiento de infraestructura
'0818T4M0043,52K027,Mantenimiento de infraestructura
'0818T4M0044,52K027,Mantenimiento de infraestructura
'0818T4M0045,52K027,Mantenimiento de infraestructura
'0818T4N0001,52K027,Mantenimiento de infraestructura
'0818T4O0020,52K027,Mantenimiento de infraestructura
'0818T4O0021,52K027,Mantenimiento de infraestructura
'0821W3N0028,21K021,Proyectos de infraestructura de turismo
'0836E000019,04K023,Proyectos de infraestructura gubernamental de seguridad pública
'0850GYR0030,50K012,Proyectos de infraestructura social de asistencia y seguridad social
'09071320003,07A003,Operación y desarrollo de la Fuerza Aérea Mexicana
'09094000001,09K045,Sistema Satelital
'09096220001,09K003,Proyectos de construcción de carreteras
'09096220001,09K048,Servicios relacionados para la liberación del derecho de vía
'09096230003,09K003,Proyectos de construcción de carreteras
'09096360018,09K003,Proyectos de construcción de carreteras
'09096360018,09K048,Servicios relacionados para la liberación del derecho de vía
'09096390003,09K003,Proyectos de construcción de carreteras
'09096410023,09K003,Proyectos de construcción de carreteras
'09096410023,09K048,Servicios relacionados para la liberación del derecho de vía
'09096420007,09K003,Proyectos de construcción de carreteras
'09096520013,09K003,Proyectos de construcción de carreteras
'09096520013,09K048,Servicios relacionados para la liberación del derecho de vía
'0918T4M0013,52K002,Proyectos de infraestructura económica de hidrocarburos
'0918T4M0023,52K002,Proyectos de infraestructura económica de hidrocarburos
'0918T4M0046,52K002,Proyectos de infraestructura económica de hidrocarburos
'0918T4M0047,52K002,Proyectos de infraestructura económica de hidrocarburos
'0918T4N0003,52K002,Proyectos de infraestructura económica de hidrocarburos
'0918T4N0004,52K030,Otros proyectos de infraestructura
'093 98 093,52K002,Proyectos de infraestructura económica de hidrocarburos
'094 01 092,52K002,Proyectos de infraestructura económica de hidrocarburos
'0951GYN0003,51K011,Proyectos de infraestructura social.
'097 01 095,52K002,Proyectos de infraestructura económica de hidrocarburos
'098 01 096,52K002,Proyectos de infraestructura económica de hidrocarburos
'10071320003,07A003,Operación y desarrollo de la Fuerza Aérea Mexicana
'10092110001,09K032,Reconstrucción y Conservación de Carreteras
'10092110010,09K032,Reconstrucción y Conservación de Carreteras
'10096280004,09K003,Proyectos de construcción de carreteras
'10096280004,09K048,Servicios relacionados para la liberación del derecho de vía
'10096350045,09K003,Proyectos de construcción de carreteras
'10096350045,09K048,Servicios relacionados para la liberación del derecho de vía
'10096440014,09K003,Proyectos de construcción de carreteras
'10096440014,09K048,Servicios relacionados para la liberación del derecho de vía
'10096450008,09K003,Proyectos de construcción de carreteras
'101 01 099,52K002,Proyectos de infraestructura económica de hidrocarburos
'1010K2N0002,10K027,Mantenimiento de Infraestructura
'1012NCG0006,12K011,Proyectos de infraestructura social de salud
'10132160001,13A004,"Adquisición, construcción, reparación y mantenimiento de unidades navales"
'10132160002,13A004,"Adquisición, construcción, reparación y mantenimiento de unidades navales"
'1018T4M0016,52K002,Proyectos de infraestructura económica de hidrocarburos
'1018T4M0021,52K036,Conservación de infraestructura marítimo-portuaria
'1018T4M0028,52K027,Mantenimiento de infraestructura
'1018T4M0035,52K027,Mantenimiento de infraestructura
'1018T4M0036,52K002,Proyectos de infraestructura económica de hidrocarburos
'1018T4N0007,52K027,Mantenimiento de infraestructura
'102 01 100,52K002,Proyectos de infraestructura económica de hidrocarburos
'109 01 107,52K002,Proyectos de infraestructura económica de hidrocarburos
'11092110001,09K032,Reconstrucción y Conservación de Carreteras
'11092110007,09K032,Reconstrucción y Conservación de Carreteras
'11092110011,09K032,Reconstrucción y Conservación de Carreteras
'11096210005,09K003,Proyectos de construcción de carreteras
'11096240002,09K003,Proyectos de construcción de carreteras
'11096240002,09K048,Servicios relacionados para la liberación del derecho de vía
'11096240003,09K003,Proyectos de construcción de carreteras
'11096240003,09K048,Servicios relacionados para la liberación del derecho de vía
'11096250001,09K003,Proyectos de construcción de carreteras
'11096250001,09K048,Servicios relacionados para la liberación del derecho de vía
'11096270038,09K003,Proyectos de construcción de carreteras
'11096300004,09K003,Proyectos de construcción de carreteras
'11096300004,09K048,Servicios relacionados para la liberación del derecho de vía
'11096310010,09K003,Proyectos de construcción de carreteras
'11096310010,09K048,Servicios relacionados para la liberación del derecho de vía
'11096310011,09K003,Proyectos de construcción de carreteras
'11096310011,09K048,Servicios relacionados para la liberación del derecho de vía
'11096330002,09K003,Proyectos de construcción de carreteras
'11096330002,09K048,Servicios relacionados para la liberación del derecho de vía
'11096330021,09K003,Proyectos de construcción de carreteras
'11096330021,09K048,Servicios relacionados para la liberación del derecho de vía
'11096340001,09K003,Proyectos de construcción de carreteras
'11096340001,09K048,Servicios relacionados para la liberación del derecho de vía
'11096340005,09K003,Proyectos de construcción de carreteras
'11096340005,09K048,Servicios relacionados para la liberación del derecho de vía
'11096340013,09K003,Proyectos de construcción de carreteras
'11096340013,09K048,Servicios relacionados para la liberación del derecho de vía
'11096360009,09K003,Proyectos de construcción de carreteras
'11096360009,09K048,Servicios relacionados para la liberación del derecho de vía
'11096370002,09K003,Proyectos de construcción de carreteras
'11096370002,09K048,Servicios relacionados para la liberación del derecho de vía
'11096390009,09K003,Proyectos de construcción de carreteras
'11096420007,09K003,Proyectos de construcción de carreteras
'11096430003,09K003,Proyectos de construcción de carreteras
'11096440003,09K003,Proyectos de construcción de carreteras
'11096440003,09K048,Servicios relacionados para la liberación del derecho de vía
'11096450008,09K003,Proyectos de construcción de carreteras
'11096450008,09K048,Servicios relacionados para la liberación del derecho de vía
'11096460012,09K003,Proyectos de construcción de carreteras
'11096460012,09K048,Servicios relacionados para la liberación del derecho de vía
'11096480003,09K003,Proyectos de construcción de carreteras
'11096480005,09K003,Proyectos de construcción de carreteras
'11096480005,09K048,Servicios relacionados para la liberación del derecho de vía
'11096500018,09K003,Proyectos de construcción de carreteras
'11096500018,09K048,Servicios relacionados para la liberación del derecho de vía
'11096520003,09K003,Proyectos de construcción de carreteras
'11096520003,09K048,Servicios relacionados para la liberación del derecho de vía
'1109J3E0008,09K004,Proyectos de construcción de puertos
'1109J3E0011,09K004,Proyectos de construcción de puertos
'11132160007,13K012,Proyectos de infraestructura social de asistencia y seguridad social
'1118T4L0002,52K002,Proyectos de infraestructura económica de hidrocarburos
'1118T4L0003,52K002,Proyectos de infraestructura económica de hidrocarburos
'1118T4L0006,52K002,Proyectos de infraestructura económica de hidrocarburos
'1118T4L0006,52K030,Otros proyectos de infraestructura
'1118T4M0013,52K030,Otros proyectos de infraestructura
'1118T4M0020,52K002,Proyectos de infraestructura económica de hidrocarburos
'1118T4M0041,52K027,Mantenimiento de infraestructura
'1118T4N0009,52K030,Otros proyectos de infraestructura
'1118T4O0004,52K027,Mantenimiento de infraestructura
'1118T4O0013,52K002,Proyectos de infraestructura económica de hidrocarburos
'1118T4O0016,52K027,Mantenimiento de infraestructura
'12071320003,07A003,Operación y desarrollo de la Fuerza Aérea Mexicana
'12092100007,09K003,Proyectos de construcción de carreteras
'12096230004,09K003,Proyectos de construcción de carreteras
'12096230004,09K048,Servicios relacionados para la liberación del derecho de vía
'12096230005,09K003,Proyectos de construcción de carreteras
'12096230005,09K048,Servicios relacionados para la liberación del derecho de vía
'12096230006,09K003,Proyectos de construcción de carreteras
'12096230006,09K048,Servicios relacionados para la liberación del derecho de vía
'12096300011,09K003,Proyectos de construcción de carreteras
'12096300011,09K048,Servicios relacionados para la liberación del derecho de vía
'12096330030,09K003,Proyectos de construcción de carreteras
'12096340019,09K003,Proyectos de construcción de carreteras
'12096350033,09K003,Proyectos de construcción de carreteras
'12096350033,09K048,Servicios relacionados para la liberación del derecho de vía
'12096390009,09K040,Proyectos de Infraestructura Ferroviaria
'12096390009,09K041,Sistema de Transporte Colectivo
'12096410042,09K003,Proyectos de construcción de carreteras
'12096410042,09K048,Servicios relacionados para la liberación del derecho de vía
'12096410043,09K003,Proyectos de construcción de carreteras
'12096410043,09K048,Servicios relacionados para la liberación del derecho de vía
'12096470009,09K003,Proyectos de construcción de carreteras
'12096470009,09K048,Servicios relacionados para la liberación del derecho de vía
'1209JZL0025,09K027,Mantenimiento de infraestructura
'1212NDF0003,12K011,Proyectos de infraestructura social de salud
'12132160002,13A004,"Adquisición, construcción, reparación y mantenimiento de unidades navales"
'1216B000084,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'1216B000115,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'1218T0K0001,18K027,Mantenimiento de infraestructura
'1218T0K0003,18K029,Programas de adquisiciones
'1218T4I0019,52K029,Programas de adquisiciones
'1218T4L0010,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0013,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0014,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0017,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0018,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0021,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0022,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0024,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0025,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0026,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0027,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4L0028,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4M0010,52K027,Mantenimiento de infraestructura
'1218T4M0011,52K027,Mantenimiento de infraestructura
'1218T4M0012,52K027,Mantenimiento de infraestructura
'1218T4M0013,52K027,Mantenimiento de infraestructura
'1218T4M0014,52K027,Mantenimiento de infraestructura
'1218T4M0025,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4M0030,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4M0031,52K027,Mantenimiento de infraestructura
'1218T4O0018,52K027,Mantenimiento de infraestructura
'1218T4O0019,52K002,Proyectos de infraestructura económica de hidrocarburos
'1218T4O0020,52K029,Programas de adquisiciones
'1218T4O0021,52K030,Otros proyectos de infraestructura
'1218T4O0026,52K027,Mantenimiento de infraestructura
'1218TOQ0072,53K001,Proyectos de infraestructura económica de electricidad
'1218TOQ0074,53K027,Mantenimiento de infraestructura
'1306G1H0006,06K024,Otros proyectos de infraestructura gubernamental
'13092100004,09K003,Proyectos de construcción de carreteras
'13093110003,09K041,Sistema de Transporte Colectivo
'13093110005,09K040,Proyectos de Infraestructura Ferroviaria
'13093110008,09K040,Proyectos de Infraestructura Ferroviaria
'13096250003,09K003,Proyectos de construcción de carreteras
'13096250003,09K048,Servicios relacionados para la liberación del derecho de vía
'13096250007,09K003,Proyectos de construcción de carreteras
'13096250007,09K048,Servicios relacionados para la liberación del derecho de vía
'13096270008,09K003,Proyectos de construcción de carreteras
'13096270008,09K048,Servicios relacionados para la liberación del derecho de vía
'13096300010,09K003,Proyectos de construcción de carreteras
'13096300010,09K048,Servicios relacionados para la liberación del derecho de vía
'13096310020,09K003,Proyectos de construcción de carreteras
'13096310020,09K048,Servicios relacionados para la liberación del derecho de vía
'13096320014,09K003,Proyectos de construcción de carreteras
'13096410031,09K003,Proyectos de construcción de carreteras
'13096410031,09K048,Servicios relacionados para la liberación del derecho de vía
'13096470001,09K003,Proyectos de construcción de carreteras
'13096470001,09K048,Servicios relacionados para la liberación del derecho de vía
'13096500015,09K003,Proyectos de construcción de carreteras
'13096500015,09K048,Servicios relacionados para la liberación del derecho de vía
'13096500022,09K003,Proyectos de construcción de carreteras
'13096510002,09K003,Proyectos de construcción de carreteras
'13096510002,09K048,Servicios relacionados para la liberación del derecho de vía
'13096520013,09K003,Proyectos de construcción de carreteras
'13096520013,09K048,Servicios relacionados para la liberación del derecho de vía
'13096520014,09K003,Proyectos de construcción de carreteras
'13096520014,09K048,Servicios relacionados para la liberación del derecho de vía
'1309J3A0003,09K004,Proyectos de construcción de puertos
'1310K2N0003,10B001,"Producción, transportación y comercialización de sal marina"
'13132160016,13A004,"Adquisición, construcción, reparación y mantenimiento de unidades navales"
'13165120002,16K025,Proyectos de inmuebles (oficinas administrativas)
'1318T0O0009,18K027,Mantenimiento de infraestructura
'1318T4I0009,52K029,Programas de adquisiciones
'1318T4I0011,52K029,Programas de adquisiciones
'1318T4L0011,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4L0011,52K030,Otros proyectos de infraestructura
'1318T4M0001,52K029,Programas de adquisiciones
'1318T4M0002,52K029,Programas de adquisiciones
'1318T4M0005,52K027,Mantenimiento de infraestructura
'1318T4M0006,52K027,Mantenimiento de infraestructura
'1318T4M0010,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4M0012,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4M0013,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4M0027,52K027,Mantenimiento de infraestructura
'1318T4M0032,52K036,Conservación de infraestructura marítimo-portuaria
'1318T4M0037,52K029,Programas de adquisiciones
'1318T4M0039,52K029,Programas de adquisiciones
'1318T4M0041,52K027,Mantenimiento de infraestructura
'1318T4M0044,52K027,Mantenimiento de infraestructura
'1318T4M0049,52K036,Conservación de infraestructura marítimo-portuaria
'1318T4M0050,52K027,Mantenimiento de infraestructura
'1318T4M0051,52K030,Otros proyectos de infraestructura
'1318T4M0052,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4M0056,52K029,Programas de adquisiciones
'1318T4M0060,52K027,Mantenimiento de infraestructura
'1318T4M0065,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4N0002,52K029,Programas de adquisiciones
'1318T4N0003,52K027,Mantenimiento de infraestructura
'1318T4N0006,52K027,Mantenimiento de infraestructura
'1318T4N0009,52K027,Mantenimiento de infraestructura
'1318T4N0013,52K027,Mantenimiento de infraestructura
'1318T4N0014,52K027,Mantenimiento de infraestructura
'1318T4N0018,52K027,Mantenimiento de infraestructura
'1318T4N0023,52K027,Mantenimiento de infraestructura
'1318T4N0024,52K027,Mantenimiento de infraestructura
'1318T4N0025,52K027,Mantenimiento de infraestructura
'1318T4N0031,52K027,Mantenimiento de infraestructura
'1318T4N0033,52K027,Mantenimiento de infraestructura
'1318T4N0034,52K029,Programas de adquisiciones
'1318T4N0037,52K029,Programas de adquisiciones
'1318T4N0038,52K027,Mantenimiento de infraestructura
'1318T4N0039,52K027,Mantenimiento de infraestructura
'1318T4N0040,52K030,Otros proyectos de infraestructura
'1318T4O0004,52K027,Mantenimiento de infraestructura
'1318T4O0005,52K027,Mantenimiento de infraestructura
'1318T4O0007,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318T4O0010,52K002,Proyectos de infraestructura económica de hidrocarburos
'1318TOQ0002,53K029,Programas de adquisiciones
'1318TOQ0011,53K028,Estudios de preinversión
'1318TOQ0015,53K029,Programas de adquisiciones
'1318TOQ0016,53K029,Programas de adquisiciones
'1318TOQ0028,53K001,Proyectos de infraestructura económica de electricidad
'1318TOQ0034,18K029,Programas de adquisiciones
'1318TOQ0037,53K001,Proyectos de infraestructura económica de electricidad
